,Date,Demanda,VolUtil,Aportes,PrecioB,PrecioO,DispTer,DispNoTer
1617,2004-06-05,5175968.939166667,10487067168.4,322486800.0,52.98630666666667,245.15941999999998,3483500.0,7868968.75
1618,2004-06-06,4571278.6325,10734959080.2,356444600.0,52.177973333333334,259.42692,3418757.0833333335,7836547.916666667
1619,2004-06-07,5487588.322916667,10841249879.1,229372100.0,54.72797333333333,258.47006,3371882.0833333335,7920824.583333333
1620,2004-06-08,5635937.464166667,10893964030.1,188128900.0,60.037765,261.97674,3334779.1666666665,7948913.333333333
1621,2004-06-09,5557622.4695833335,11005847425.8,251602200.0,57.463181666666664,260.87122,3292375.0,7825045.416666667
1622,2004-06-10,5623051.452083333,11036829510.4,167335300.0,57.834015,262.39362,3283166.6666666665,7761450.833333333
1623,2004-06-11,5626005.443333332,11043520732.9,138723300.0,60.63630666666666,249.11664000000002,3309708.3333333335,7847335.416666667
1624,2004-06-12,5181058.092083333,11127730031.3,215339100.0,57.66547333333333,279.29048,3311000.0,7767932.083333333
1625,2004-06-13,4581486.100416667,11205844594.2,188601300.0,50.74880666666667,265.37296,3412963.75,7694545.833333333
1626,2004-06-14,4641193.3950000005,11251619527.8,162145100.0,50.20714,264.91778,3391291.6666666665,7747045.416666667
1627,2004-06-15,5479485.787916667,11350417168.0,254150100.0,52.833014999999996,277.58693999999997,3347083.3333333335,7915963.75
1628,2004-06-16,5581704.904583334,11487804976.7,365462600.0,50.221556666666665,266.54676,3309998.75,7632907.5
1629,2004-06-17,5623143.6875,11516002625.6,246647100.0,50.34464,266.38662,3316922.9166666665,7821229.166666667
1630,2004-06-18,5607953.362083334,11532260108.4,207389400.0,47.45505666666667,268.83887,3342722.0833333335,8283637.083333333
1631,2004-06-19,5260371.243749999,11554284447.4,216824600.0,42.345056666666665,264.9283534,3307294.1666666665,8391900.416666666
1632,2004-06-20,4537199.64625,11561652095.2,196306200.0,41.93630666666667,271.0155758,3216666.6666666665,8496197.083333334
1633,2004-06-21,4603023.253333333,11576773887.2,179990300.0,41.72505666666667,270.96276,3216666.6666666665,8578665.416666666
1634,2004-06-22,5481292.287916667,11559762624.3,156409500.0,48.01964,270.45178,3169533.3333333335,8514928.333333334
1635,2004-06-23,5582976.6674999995,11555778138.4,160985900.0,47.89464,268.05776,3076458.3333333335,8364618.75
1636,2004-06-24,5623575.11625,11603990397.9,246644300.0,48.63214,261.3601,2896052.0833333335,8312655.833333333
1637,2004-06-25,5648985.34625,11565287817.2,172077300.0,54.20714,283.4602408,2800856.25,8314457.916666667
1638,2004-06-26,5310130.299583334,11559189293.7,140509300.0,45.44880666666666,266.01833999999997,3009146.6666666665,8574203.333333334
1639,2004-06-27,4681359.2075000005,11549457367.4,135069500.0,43.340473333333335,273.11386,3055237.5,8546783.75
1640,2004-06-28,5449106.130416666,11618702622.5,251265800.0,43.83214,263.18246,2794087.5,8462894.166666666
1641,2004-06-29,5497047.361666667,11613282482.4,155637900.0,48.099015,264.82223999999997,2736461.6666666665,8224727.083333333
1642,2004-06-30,5578628.260416667,11607623239.1,142842800.0,55.50263999999999,254.34376,2754623.75,8383959.583333333
1643,2004-07-01,5504372.556666667,11608624485.4,144322800.0,51.0648,243.12488000000002,2785236.25,8252791.666666667
1644,2004-07-02,5531445.87875,11613006179.0,145020800.0,48.531175,235.25948,2684041.6666666665,8237394.583333333
1645,2004-07-03,5149059.510416667,11603636888.0,118167400.0,48.53471666666667,248.57767660000002,2766083.3333333335,7909299.583333333
1646,2004-07-04,4447863.839583334,11670137744.1,195716400.0,48.43934166666667,259.39358,2745927.0833333335,7664655.0
1647,2004-07-05,4588802.917083333,11723810483.1,192443700.0,51.5768,264.49756,2852208.3333333335,7618111.666666667
1648,2004-07-06,5411176.182083334,11707228011.6,142092600.0,50.18471666666667,249.25412,2958416.6666666665,8023498.75
1649,2004-07-07,5482631.870416666,11721434715.4,162604800.0,48.39763333333334,249.08642,2966000.0,8003125.0
1650,2004-07-08,5450007.02625,11713989353.1,143290300.0,55.07471666666666,261.8302,2960000.0,7875832.083333333
1651,2004-07-09,5517558.9158333335,11726321159.0,126025600.0,51.7143,261.77452,2903147.0833333335,7883594.583333333
1652,2004-07-10,5179590.1525,11747554116.6,113615400.0,50.39763333333334,269.79588739999997,2904189.5833333335,7830956.25
1653,2004-07-11,4742639.281666667,11779659848.5,150800400.0,45.8393,269.35904,2927583.3333333335,8157347.916666667
1654,2004-07-12,5594535.367083333,11829811409.3,242001200.0,53.93513333333333,275.8115,2933541.6666666665,8247700.416666667
1655,2004-07-13,5664590.130416666,11903706582.8,250468100.0,63.96013333333334,280.0854566,2941125.0,8106102.083333333
1656,2004-07-14,5587687.37375,12043531600.2,171449900.0,57.41846666666667,258.0684084,2928961.6666666665,8155257.083333333
1657,2004-07-15,5567315.2975,12069011271.7,171819000.0,56.77263333333334,270.05124,3009275.0,8124836.666666667
1658,2004-07-16,5580936.953333333,12143259936.4,206060400.0,54.24763333333333,274.00588,2942208.3333333335,8432342.916666666
1659,2004-07-17,5301640.3116666665,12133986923.4,128579600.0,53.035133333333334,286.58456,3061196.6666666665,8474514.583333334
1660,2004-07-18,4569118.977916666,12128303711.4,109856600.0,50.4643,286.53770000000003,3067000.0,8451949.166666666
1661,2004-07-19,5282209.069583333,12172105054.5,186130200.0,52.2893,285.460615,3063850.8333333335,8301308.75
1662,2004-07-20,4836609.922916667,12186650031.0,136019800.0,52.17679999999999,280.901665,3067000.0,8296524.583333333
1663,2004-07-21,5553756.6575,12236577685.8,201281900.0,54.27888333333333,271.04192,3067083.3333333335,8308449.166666667
1664,2004-07-22,5577558.285833334,12323933066.8,234577500.0,53.1393,267.55504,3067041.6666666665,8240022.916666667
1665,2004-07-23,5696805.242083333,12303107786.3,142755000.0,54.6268,274.86388,2999138.75,8385467.083333333
1666,2004-07-24,5395814.4470833335,12333538186.6,151776600.0,53.49763333333333,271.76016,3001208.3333333335,8380311.666666667
1667,2004-07-25,4804822.904583333,12347290609.8,130535400.0,52.2768,267.83562,3069125.0,8400424.166666666
1668,2004-07-26,5587419.059583333,12344627335.7,122721700.0,58.17263333333333,261.7631,3069125.0,8402077.916666666
1669,2004-07-27,5685286.229166667,12395304408.1,168736600.0,55.02263333333334,256.40962,3059500.0,8308495.416666667
1670,2004-07-28,5568476.9925,12446507123.5,192580000.0,55.24346666666667,243.67626,2976333.3333333335,8370033.333333333
1671,2004-07-29,5541977.760833333,12470919778.0,163077900.0,54.03096666666667,250.93026078431373,3085791.6666666665,8404820.416666666
1672,2004-07-30,5582345.255833333,12453618181.3,136177100.0,52.522466666666666,253.21165294117645,3098750.0,8363319.583333333
1673,2004-07-31,5125033.09,12497896859.9,306357700.0,51.04763333333333,252.97377058823528,3025791.6666666665,8470812.083333334
1674,2004-08-01,4545117.752916667,12492872388.2,183999100.0,50.37235333333333,265.87669307692306,3075166.6666666665,8485397.916666666
1675,2004-08-02,5436067.108333333,12475173136.4,127142500.0,52.09318666666667,276.2402219230769,3108479.1666666665,8335476.666666667
1676,2004-08-03,5524750.289583334,12453422167.3,116838200.0,54.78052,285.3719526923077,3127625.0,8308698.75
1677,2004-08-04,5602050.300416667,12502345274.1,225917600.0,57.40985333333333,280.6957892307692,3010891.6666666665,8191375.833333333
1678,2004-08-05,5625155.954166667,12466410132.9,186511900.0,60.57610333333333,281.2315776923077,2989951.6666666665,8259407.916666667
1679,2004-08-06,5596452.967083334,12486812066.9,183247100.0,60.951519999999995,266.1705415384615,3009583.3333333335,8253007.083333333
1680,2004-08-07,4856597.0737499995,12482323015.2,145083200.0,57.15985333333333,280.4591194230769,2988916.6666666665,8215235.833333333
1681,2004-08-08,4542397.449166667,12489066868.2,164965600.0,54.701519999999995,288.17349192307694,3033147.0833333335,8282558.75
1682,2004-08-09,5549107.204166667,12481550812.8,164737300.0,56.139019999999995,258.14048153846153,3116885.0,8040499.583333333
1683,2004-08-10,5611414.730833333,12464424807.0,131086000.0,57.30110333333334,262.7540584615385,2985847.5,7947777.916666667
1684,2004-08-11,5608317.690833334,12441993990.2,155957700.0,54.93443666666667,239.3709623076923,2920708.3333333335,7904758.333333333
